Original_x,Optimal_x,Cost,Objective,Runtime,Slack_income,slack_credit,Slack_ca,Slack_la
"[5.0, 0.0, 0.0, 6500000.0, 13400000.0, 18.0, 787.0, 18200000.0, 300000.0, 16200000.0, 5400000.0]","[5.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 1.34000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.026158332824707,0.5,0.5,0.5,0.5
"[2.0, 1.0, 0.0, 8500000.0, 18900000.0, 18.0, 478.0, 23800000.0, 16300000.0, 25900000.0, 11400000.0]","[2.00000e+00 1.00000e+00 0.00000e+00 3.49995e+04 1.89000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0257313251495361,0.5,0.5,0.5,0.5
"[0.0, 1.0, 0.0, 700000.0, 1400000.0, 14.0, 639.0, 1900000.0, 700000.0, 2400000.0, 900000.0]","[0.00000000e+00 1.00000000e+00 0.00000000e+00 4.00005000e+04
 1.40000000e+06 5.00000000e+00 9.00000000e+02 2.80000000e+06
 1.61614602e+07 0.00000000e+00 8.00000000e+05]",16162360.716578590005197,16162360.716578590005197,0.0250184535980224,0.5,150,16161210.216578590005197,1000
"[0.0, 1.0, 1.0, 9000000.0, 18700000.0, 18.0, 865.0, 26800000.0, 0.0, 20900000.0, 11300000.0]","[0.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 1.87000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0271210670471191,0.5,0.5,0.5,0.5
"[5.0, 0.0, 1.0, 700000.0, 1300000.0, 20.0, 704.0, 1600000.0, 0.0, 2200000.0, 600000.0]","[5.0000000e+00 0.0000000e+00 1.0000000e+00 4.0000500e+04 1.3000000e+06
 5.0000000e+00 9.0000000e+02 2.8000000e+06 1.6711196e+07 0.0000000e+00
 8.0000000e+05]",16712096.515470389799774,16712096.515470389799774,0.0272655487060546,0.5,150,16710946.015470389799774,1000
"[0.0, 1.0, 0.0, 3000000.0, 6500000.0, 2.0, 612.0, 8800000.0, 3400000.0, 6700000.0, 1700000.0]","[0.00000000e+00 1.00000000e+00 0.00000000e+00 3.49990070e+04
 6.50000000e+06 5.00000000e+00 5.99007034e+02 2.80000000e+06
 9.90070340e+01 9.99007034e+02 8.00000000e+05]",3.971864188827147,3.971864188827147,0.0272965431213378,0.992966047206786,0.992966047206786,0.992966047206786,0.992966047206786
"[4.0, 1.0, 1.0, 9800000.0, 21200000.0, 20.0, 355.0, 22000000.0, 8900000.0, 31800000.0, 14400000.0]","[4.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 2.12000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0223922729492187,0.5,0.5,0.5,0.5
"[3.0, 1.0, 0.0, 2900000.0, 6500000.0, 18.0, 827.0, 8300000.0, 600000.0, 10400000.0, 3200000.0]","[3.00000000e+00 1.00000000e+00 0.00000000e+00 3.49990070e+04
 6.50000000e+06 5.00000000e+00 5.99007034e+02 2.80000000e+06
 9.90070340e+01 9.99007034e+02 8.00000000e+05]",3.971863883388530,3.971863883388530,0.0183398723602294,0.992965970847132,0.992965970847132,0.992965970847132,0.992965970847132
"[5.0, 1.0, 1.0, 3300000.0, 7800000.0, 16.0, 632.0, 8500000.0, 500000.0, 7100000.0, 4900000.0]","[5.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 7.80000e+06 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0145039558410644,0.5,0.5,0.5,0.5
"[2.0, 1.0, 1.0, 2400000.0, 4900000.0, 4.0, 888.0, 6400000.0, 4300000.0, 5100000.0, 3400000.0]","[2.00000000e+00 1.00000000e+00 1.00000000e+00 3.49993773e+04
 4.90000000e+06 5.00000000e+00 5.99377289e+02 2.80000000e+06
 9.93772895e+01 9.99377289e+02 8.00000000e+05]",2.490842053112640,2.490842053112640,0.0162539482116699,0.622710513278160,0.622710513278160,0.622710513278160,0.622710513278160
"[4.0, 1.0, 1.0, 5800000.0, 13300000.0, 14.0, 742.0, 16100000.0, 9300000.0, 16300000.0, 7000000.0]","[4.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 1.33000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0175187587738037,0.5,0.5,0.5,0.5
"[5.0, 0.0, 0.0, 3700000.0, 7300000.0, 18.0, 339.0, 9300000.0, 100000.0, 13900000.0, 5300000.0]","[5.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 7.30000e+06 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0228753089904785,0.5,0.5,0.5,0.5
"[3.0, 0.0, 1.0, 2900000.0, 5800000.0, 12.0, 353.0, 8400000.0, 2600000.0, 10100000.0, 3100000.0]","[3.00000000e+00 0.00000000e+00 1.00000000e+00 3.49991690e+04
 5.80000000e+06 5.00000000e+00 5.99169021e+02 2.80000000e+06
 9.91690208e+01 9.99169021e+02 8.00000000e+05]",3.323916862274883,3.323916862274883,0.0155496597290039,0.830979215568720,0.830979215568720,0.830979215568720,0.830979215568720
"[5.0, 0.0, 1.0, 500000.0, 900000.0, 18.0, 618.0, 1400000.0, 600000.0, 1200000.0, 400000.0]","[5.00000000e+00 0.00000000e+00 1.00000000e+00 4.00005000e+04
 9.00000000e+05 5.00000000e+00 9.00000000e+02 2.80000000e+06
 1.89101294e+07 0.00000000e+00 8.00000000e+05]",18911029.940521949210201,18911029.940521949210201,0.0158054828643798,0.5,150,18909879.440521949210201,1000
"[0.0, 0.0, 1.0, 7500000.0, 16800000.0, 16.0, 492.0, 21500000.0, 4800000.0, 25400000.0, 11100000.0]","[0.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 1.68000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0150039196014404,0.5,0.5,0.5,0.5
"[0.0, 1.0, 0.0, 2400000.0, 5000000.0, 14.0, 580.0, 5900000.0, 4400000.0, 5500000.0, 3200000.0]","[0.00000000e+00 1.00000000e+00 0.00000000e+00 3.49993541e+04
 5.00000000e+06 5.00000000e+00 5.99354148e+02 2.80000000e+06
 9.93541485e+01 9.99354148e+02 8.00000000e+05]",2.583406076921787,2.583406076921787,0.0135612487792968,0.645851519230446,0.645851519230446,0.645851519230446,0.645851519230446
"[0.0, 1.0, 0.0, 3600000.0, 7800000.0, 14.0, 376.0, 9800000.0, 6900000.0, 11900000.0, 3000000.0]","[0.00000e+00 1.00000e+00 0.00000e+00 3.49995e+04 7.80000e+06 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0185945034027099,0.5,0.5,0.5,0.5
"[0.0, 1.0, 0.0, 5300000.0, 10900000.0, 18.0, 707.0, 12900000.0, 2600000.0, 12700000.0, 7600000.0]","[0.00000e+00 1.00000e+00 0.00000e+00 3.49995e+04 1.09000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0252168178558349,0.5,0.5,0.5,0.5
"[1.0, 0.0, 1.0, 5700000.0, 12000000.0, 4.0, 415.0, 15700000.0, 900000.0, 17300000.0, 7400000.0]","[1.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 1.20000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0203208923339843,0.5,0.5,0.5,0.5
"[4.0, 0.0, 1.0, 2700000.0, 5400000.0, 6.0, 861.0, 6300000.0, 2400000.0, 6700000.0, 2700000.0]","[4.00000000e+00 0.00000000e+00 1.00000000e+00 3.49992616e+04
 5.40000000e+06 5.00000000e+00 5.99261585e+02 2.80000000e+06
 9.92615847e+01 9.99261585e+02 8.00000000e+05]",2.953661263953915,2.953661263953915,0.0158288478851318,0.738415315988478,0.738415315988478,0.738415315988478,0.738415315988478
"[3.0, 1.0, 1.0, 6200000.0, 14600000.0, 2.0, 664.0, 18300000.0, 8400000.0, 16800000.0, 6600000.0]","[3.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 1.46000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0127513408660888,0.5,0.5,0.5,0.5
"[5.0, 0.0, 1.0, 700000.0, 1300000.0, 16.0, 362.0, 2100000.0, 1300000.0, 2000000.0, 1000000.0]","[5.0000000e+00 0.0000000e+00 1.0000000e+00 4.0000500e+04 1.3000000e+06
 5.0000000e+00 9.0000000e+02 2.8000000e+06 1.6711196e+07 0.0000000e+00
 8.0000000e+05]",16712096.515470389799774,16712096.515470389799774,0.0143167972564697,0.5,150,16710946.015470389799774,1000
