Original_x,Optimal_x,Cost,Objective,Runtime,Slack_fa,Slack_va,Slack_ca,Slack_rs
"[7.4, 0.7, 0.0, 1.9, 0.076, 11.0, 34.0, 0.9978, 3.51, 0.56, 9.4]","[ 4.          0.2         1.20642706  6.7         0.076      11.
 34.          0.9978      3.51        0.56        9.4       ]",0.656427060706219,0.656427060706219,0.0397584438323974,0,0,0.656427060706219,0
"[7.4, 0.7, 0.0, 1.9, 0.076, 11.0, 34.0, 0.9978, 3.51, 0.56, 9.4]","[ 4.          0.2         1.20642706  6.7         0.076      11.
 34.          0.9978      3.51        0.56        9.4       ]",0.656427060706219,0.656427060706219,0.0355045795440673,0,0,0.656427060706219,0
"[7.4, 0.66, 0.0, 1.8, 0.075, 13.0, 40.0, 0.9978, 3.51, 0.56, 9.4]","[ 4.          0.2         1.19495246  6.7         0.075      13.
 40.          0.9978      3.51        0.56        9.4       ]",0.644952457849857,0.644952457849857,0.057347297668457,0,0,0.644952457849857,0
"[7.9, 0.6, 0.06, 1.6, 0.069, 15.0, 59.0, 0.9964, 3.3, 0.46, 9.4]","[ 4.          0.2         0.97651636  6.7         0.069      15.
 59.          0.9964      3.3         0.46        9.4       ]",0.426516362080009,0.426516362080009,0.0208315849304199,0,0,0.426516362080009,0
"[7.3, 0.65, 0.0, 1.2, 0.065, 15.0, 21.0, 0.9946, 3.39, 0.47, 10.0]","[ 4.          0.2         0.88113644  6.7         0.065      15.
 21.          0.9946      3.39        0.47       10.        ]",0.331136444385462,0.331136444385462,0.0252881050109863,0,0,0.331136444385462,0
"[7.8, 0.58, 0.02, 2.0, 0.073, 9.0, 18.0, 0.9968, 3.36, 0.57, 9.5]","[ 4.          0.2         0.90413054  6.7         0.073       9.
 18.          0.9968      3.36        0.57        9.5       ]",0.354130537436386,0.354130537436386,0.0219025611877441,0,0,0.354130537436386,0
"[6.7, 0.58, 0.08, 1.8, 0.0969999999999999, 15.0, 65.0, 0.9959, 3.28, 0.54, 9.2]","[ 4.          0.2         1.03611086  6.7         0.097      15.
 65.          0.9959      3.28        0.54        9.2       ]",0.486110864031699,0.486110864031699,0.0277364253997802,0,0,0.486110864031699,0
"[5.6, 0.615, 0.0, 1.6, 0.089, 16.0, 59.0, 0.9943, 3.58, 0.52, 9.9]","[ 4.          0.2         1.28278931  6.7         0.089      16.
 59.          0.9943      3.58        0.52        9.9       ]",0.732789308891788,0.732789308891788,0.0195677280426025,0,0,0.732789308891788,0
"[8.1, 0.56, 0.28, 1.7, 0.368, 16.0, 56.0, 0.9968, 3.11, 1.28, 9.3]","[ 4.          0.2         1.02257485  6.7         0.368      16.
 56.          0.9968      3.11        1.28        9.3       ]",0.472574850986047,0.472574850986047,0.0182909965515136,0,0,0.472574850986047,0
"[7.4, 0.59, 0.08, 4.4, 0.086, 6.0, 29.0, 0.9974, 3.38, 0.5, 9.0]","[ 4.          0.2         1.28631523  6.7         0.086       6.
 29.          0.9974      3.38        0.5         9.        ]",0.736315233575642,0.736315233575642,0.0193233489990234,0,0,0.736315233575642,0
"[7.9, 0.32, 0.51, 1.8, 0.341, 17.0, 56.0, 0.9969, 3.04, 1.08, 9.2]","[ 4.          0.2         1.09792858  6.7         0.341      17.
 56.          0.9969      3.04        1.08        9.2       ]",0.547928583274269,0.547928583274269,0.0210926532745361,0,0,0.547928583274269,0
"[8.9, 0.22, 0.48, 1.8, 0.077, 29.0, 60.0, 0.9968, 3.39, 0.53, 9.4]","[ 4.          0.2         0.99557559  6.7         0.077      29.
 60.          0.9968      3.39        0.53        9.4       ]",0.445575590018287,0.445575590018287,0.0200679302215576,0,0,0.445575590018287,0
"[7.6, 0.39, 0.31, 2.3, 0.0819999999999999, 23.0, 71.0, 0.9982, 3.52, 0.65, 9.7]","[ 4.          0.2         0.98589442  6.7         0.082      23.
 71.          0.9982      3.52        0.65        9.7       ]",0.435894423370969,0.435894423370969,0.0207114219665527,0,0,0.435894423370969,0
"[8.5, 0.49, 0.11, 2.3, 0.084, 9.0, 67.0, 0.9968, 3.17, 0.53, 9.4]","[ 4.          0.2         0.76908755  6.7         0.084       9.
 67.          0.9968      3.17        0.53        9.4       ]",0.219087551841083,0.219087551841083,0.0220522880554199,0,0,0.219087551841083,0
"[6.9, 0.4, 0.14, 2.4, 0.085, 21.0, 40.0, 0.9968, 3.43, 0.63, 9.7]","[ 4.          0.2         0.88270624  6.7         0.085      21.
 40.          0.9968      3.43        0.63        9.7       ]",0.332706240743005,0.332706240743005,0.0233802795410156,0,0,0.332706240743005,0
"[6.3, 0.39, 0.16, 1.4, 0.08, 11.0, 23.0, 0.9955, 3.34, 0.56, 9.3]","[ 4.          0.2         0.98116171  6.7         0.08       11.
 23.          0.9955      3.34        0.56        9.3       ]",0.431161711800523,0.431161711800523,0.0240020751953125,0,0,0.431161711800523,0
"[7.6, 0.41, 0.24, 1.8, 0.08, 4.0, 11.0, 0.9962, 3.28, 0.59, 9.5]","[ 4.         0.2        0.8009231  6.7        0.08       4.
 11.         0.9962     3.28       0.59       9.5      ]",0.250923098723816,0.250923098723816,0.0228450298309326,0,0,0.250923098723816,0
"[7.1, 0.71, 0.0, 1.9, 0.08, 14.0, 35.0, 0.9972, 3.47, 0.55, 9.4]","[ 4.          0.2         1.16555596  6.7         0.08       14.
 35.          0.9972      3.47        0.55        9.4       ]",0.615555959843717,0.615555959843717,0.0214884281158447,0,0,0.615555959843717,0
"[7.8, 0.645, 0.0, 2.0, 0.0819999999999999, 8.0, 16.0, 0.9964, 3.38, 0.59, 9.8]","[ 4.          0.2         0.86278442  6.7         0.082       8.
 16.          0.9964      3.38        0.59        9.8       ]",0.312784417466842,0.312784417466842,0.0507192611694335,0,0,0.312784417466842,0
"[6.7, 0.675, 0.07, 2.4, 0.089, 17.0, 82.0, 0.9958, 3.35, 0.54, 10.1]","[ 4.         0.2        0.8224364  6.7        0.089     17.
 82.         0.9958     3.35       0.54      10.1      ]",0.272436401226374,0.272436401226374,0.0394582748413085,0,0,0.272436401226374,0
"[6.9, 0.685, 0.0, 2.5, 0.105, 22.0, 37.0, 0.9966, 3.46, 0.57, 10.6]","[ 4.          0.2         0.83818028  6.7         0.105      22.
 37.          0.9966      3.46        0.57       10.6       ]",0.288180283443236,0.288180283443236,0.0527338981628418,0,0,0.288180283443236,0
"[6.9, 0.605, 0.12, 10.7, 0.073, 40.0, 83.0, 0.9993, 3.45, 0.52, 9.4]","[4.00000000e+00 2.00000000e-01 1.04599206e+00 6.70000000e+00
 7.30000000e-02 4.00000000e+01 8.30000000e+01 9.99300000e-01
 3.45000000e+00 5.20000000e-01 9.40000000e+00]",0.495992062149730,0.495992062149730,0.0421268939971923,0,0,0.495992062149730,0
"[5.2, 0.32, 0.25, 1.8, 0.103, 13.0, 50.0, 0.9957, 3.38, 0.55, 9.2]","[ 4.          0.2         1.21641423  6.7         0.103      13.
 50.          0.9957      3.38        0.55        9.2       ]",0.666414229165383,0.666414229165383,0.0363991260528564,0,0,0.666414229165383,0
"[7.8, 0.645, 0.0, 5.5, 0.086, 5.0, 18.0, 0.9986, 3.4, 0.55, 9.6]","[ 4.          0.2         1.05231887  6.7         0.086       5.
 18.          0.9986      3.4         0.55        9.6       ]",0.502318870520357,0.502318870520357,0.0363471508026123,0,0,0.502318870520357,0
"[5.7, 1.13, 0.09, 1.5, 0.172, 7.0, 19.0, 0.994, 3.5, 0.48, 9.8]","[ 4.          0.2         1.70440627  6.7         0.172       7.
 19.          0.994       3.5         0.48        9.8       ]",1.154406274834320,1.154406274834320,0.0406415462493896,0,0,1.154406274834320,0
"[8.8, 0.61, 0.3, 2.8, 0.088, 17.0, 46.0, 0.9976, 3.26, 0.51, 9.3]","[ 4.          0.2         0.95170669  6.7         0.088      17.
 46.          0.9976      3.26        0.51        9.3       ]",0.401706691464788,0.401706691464788,0.0359485149383544,0,0,0.401706691464788,0
"[7.5, 0.49, 0.2, 2.6, 0.332, 8.0, 14.0, 0.9968, 3.21, 0.9, 10.5]","[ 4.          0.2         1.21020543  6.7         0.332       8.
 14.          0.9968      3.21        0.9        10.5       ]",0.660205430028708,0.660205430028708,0.0372674465179443,0,0,0.660205430028708,0
"[6.8, 0.67, 0.02, 1.8, 0.05, 5.0, 11.0, 0.9962, 3.48, 0.52, 9.5]","[ 4.          0.2         1.06815063  6.7         0.05        5.
 11.          0.9962      3.48        0.52        9.5       ]",0.518150631494083,0.518150631494083,0.0458605289459228,0,0,0.518150631494083,0
"[7.7, 0.935, 0.43, 2.2, 0.114, 22.0, 114.0, 0.997, 3.25, 0.73, 9.2]","[  4.           0.2          0.77864881   6.7          0.114
  22.         114.           0.997        3.25         0.73
   9.2       ]",0.228648812143713,0.228648812143713,0.0476572513580322,0,0,0.228648812143713,0
"[8.7, 0.29, 0.52, 1.6, 0.113, 12.0, 37.0, 0.9969, 3.25, 0.58, 9.5]","[ 4.          0.2         0.91655391  6.7         0.113      12.
 37.          0.9969      3.25        0.58        9.5       ]",0.366553912064867,0.366553912064867,0.0216460227966308,0,0,0.366553912064867,0
"[6.4, 0.4, 0.23, 1.6, 0.066, 5.0, 12.0, 0.9958, 3.34, 0.56, 9.2]","[ 4.          0.2         0.96062232  6.7         0.066       5.
 12.          0.9958      3.34        0.56        9.2       ]",0.410622320506366,0.410622320506366,0.0230176448822021,0,0,0.410622320506366,0
"[5.6, 0.31, 0.37, 1.4, 0.074, 12.0, 96.0, 0.9954, 3.32, 0.58, 9.2]","[4.00000000e+00 2.00000000e-01 9.46816344e-01 6.70000000e+00
 7.40000000e-02 1.20000000e+01 9.60000000e+01 9.95400000e-01
 3.32000000e+00 5.80000000e-01 9.20000000e+00]",0.396816344179842,0.396816344179842,0.0204379558563232,0,0,0.396816344179842,0
