Original_x,Optimal_x,Cost,Objective,Runtime
"[7.4, 0.7, 0.0, 1.9, 0.076, 11.0, 34.0, 0.9978, 3.51, 0.56, 9.4]","[ 4.          0.2         1.20642706  6.7         0.076      11.
 34.          0.9978      3.51        0.56        9.4       ]",9.906427060706219,9.906427060706219,0.0267572402954101
"[7.4, 0.7, 0.0, 1.9, 0.076, 11.0, 34.0, 0.9978, 3.51, 0.56, 9.4]","[ 4.          0.2         1.20642706  6.7         0.076      11.
 34.          0.9978      3.51        0.56        9.4       ]",9.906427060706219,9.906427060706219,0.0369882583618164
"[7.4, 0.66, 0.0, 1.8, 0.075, 13.0, 40.0, 0.9978, 3.51, 0.56, 9.4]","[ 4.          0.2         1.19495246  6.7         0.075      13.
 40.          0.9978      3.51        0.56        9.4       ]",9.954952457849857,9.954952457849857,0.0223119258880615
"[7.9, 0.6, 0.06, 1.6, 0.069, 15.0, 59.0, 0.9964, 3.3, 0.46, 9.4]","[ 4.          0.2         0.97651636  6.7         0.069      15.
 59.          0.9964      3.3         0.46        9.4       ]",10.316516362080009,10.316516362080009,0.0286641120910644
"[7.3, 0.65, 0.0, 1.2, 0.065, 15.0, 21.0, 0.9946, 3.39, 0.47, 10.0]","[ 4.          0.2         0.88113644  6.7         0.065      15.
 21.          0.9946      3.39        0.47       10.        ]",10.131136444385462,10.131136444385462,0.0224819183349609
"[7.8, 0.58, 0.02, 2.0, 0.073, 9.0, 18.0, 0.9968, 3.36, 0.57, 9.5]","[ 4.          0.2         0.90413054  6.7         0.073       9.
 18.          0.9968      3.36        0.57        9.5       ]",9.764130537436386,9.764130537436386,0.0424787998199462
"[6.7, 0.58, 0.08, 1.8, 0.0969999999999999, 15.0, 65.0, 0.9959, 3.28, 0.54, 9.2]","[ 4.          0.2         1.03611086  6.7         0.097      15.
 65.          0.9959      3.28        0.54        9.2       ]",8.936110864031699,8.936110864031699,0.0366091728210449
"[5.6, 0.615, 0.0, 1.6, 0.089, 16.0, 59.0, 0.9943, 3.58, 0.52, 9.9]","[ 5.67065851  0.2         1.28278931  6.7         0.089      16.
 59.          0.9943      3.58        0.52        9.9       ]",6.868447820784644,6.868447820784644,0.117898941040039
"[8.1, 0.56, 0.28, 1.7, 0.368, 16.0, 56.0, 0.9968, 3.11, 1.28, 9.3]","[ 4.          0.2         1.02257485  6.7         0.368      16.
 56.          0.9968      3.11        1.28        9.3       ]",10.202574850986047,10.202574850986047,0.0635159015655517
"[7.4, 0.59, 0.08, 4.4, 0.086, 6.0, 29.0, 0.9974, 3.38, 0.5, 9.0]","[ 4.          0.2         1.28631523  6.7         0.086       6.
 29.          0.9974      3.38        0.5         9.        ]",7.296315233575642,7.296315233575642,0.0348172187805175
"[7.9, 0.32, 0.51, 1.8, 0.341, 17.0, 56.0, 0.9969, 3.04, 1.08, 9.2]","[ 4.37470617  0.4         1.09792858  6.7         0.341      17.
 56.          0.9969      3.04        1.08        9.2       ]",9.093222416794352,9.093222416794352,0.0264348983764648
"[8.9, 0.22, 0.48, 1.8, 0.077, 29.0, 60.0, 0.9968, 3.39, 0.53, 9.4]","[ 5.23290025  0.28560386  0.99557559  6.7         0.077      29.
 60.          0.9968      3.39        0.53        9.4       ]",9.148279197887663,9.148279197887663,0.0365679264068603
"[7.6, 0.39, 0.31, 2.3, 0.0819999999999999, 23.0, 71.0, 0.9982, 3.52, 0.65, 9.7]","[ 5.27887155  0.4         0.98589442  6.7         0.082      23.
 71.          0.9982      3.52        0.65        9.7       ]",7.407022876208067,7.407022876208067,0.030726671218872
"[8.5, 0.49, 0.11, 2.3, 0.084, 9.0, 67.0, 0.9968, 3.17, 0.53, 9.4]","[ 4.          0.2         0.76908755  6.7         0.084       9.
 67.          0.9968      3.17        0.53        9.4       ]",9.849087551841083,9.849087551841083,0.0303764343261718
"[6.9, 0.4, 0.14, 2.4, 0.085, 21.0, 40.0, 0.9968, 3.43, 0.63, 9.7]","[ 4.          0.2         0.88270624  6.7         0.085      21.
 40.          0.9968      3.43        0.63        9.7       ]",8.142706240743005,8.142706240743005,0.0501067638397216
"[6.3, 0.39, 0.16, 1.4, 0.08, 11.0, 23.0, 0.9955, 3.34, 0.56, 9.3]","[ 5.27887155  0.4         0.98116171  6.7         0.08       11.
 23.          0.9955      3.34        0.56        9.3       ]",7.152290164637616,7.152290164637616,0.0456140041351318
"[7.6, 0.41, 0.24, 1.8, 0.08, 4.0, 11.0, 0.9962, 3.28, 0.59, 9.5]","[ 4.         0.2        0.8009231  6.7        0.08       4.
 11.         0.9962     3.28       0.59       9.5      ]",9.270923098723816,9.270923098723816,0.0373976230621337
"[7.1, 0.71, 0.0, 1.9, 0.08, 14.0, 35.0, 0.9972, 3.47, 0.55, 9.4]","[ 4.          0.2         1.16555596  6.7         0.08       14.
 35.          0.9972      3.47        0.55        9.4       ]",9.575555959843717,9.575555959843717,0.0377719402313232
"[7.8, 0.645, 0.0, 2.0, 0.0819999999999999, 8.0, 16.0, 0.9964, 3.38, 0.59, 9.8]","[ 5.29166483  0.2         0.86278442  6.7         0.082       8.
 16.          0.9964      3.38        0.59        9.8       ]",8.516119587919710,8.516119587919710,0.0467221736907959
"[6.7, 0.675, 0.07, 2.4, 0.089, 17.0, 82.0, 0.9958, 3.35, 0.54, 10.1]","[ 4.         0.2        0.8224364  6.7        0.089     17.
 82.         0.9958     3.35       0.54      10.1      ]",8.227436401226374,8.227436401226374,0.0217745304107666
"[6.9, 0.685, 0.0, 2.5, 0.105, 22.0, 37.0, 0.9966, 3.46, 0.57, 10.6]","[ 4.          0.2         0.83818028  6.7         0.105      22.
 37.          0.9966      3.46        0.57       10.6       ]",8.423180283443236,8.423180283443236,0.0396211147308349
"[6.9, 0.605, 0.12, 10.7, 0.073, 40.0, 83.0, 0.9993, 3.45, 0.52, 9.4]","[4.00000000e+00 2.00000000e-01 1.04599206e+00 1.00000000e+01
 7.30000000e-02 4.00000000e+01 8.30000000e+01 9.99300000e-01
 3.45000000e+00 5.20000000e-01 9.40000000e+00]",4.93099206214973,4.93099206214973,0.0251204967498779
"[5.2, 0.32, 0.25, 1.8, 0.103, 13.0, 50.0, 0.9957, 3.38, 0.55, 9.2]","[ 5.23426217  0.35426217  1.21641423  6.7         0.103      13.
 50.          0.9957      3.38        0.55        9.2       ]",5.934938559467132,5.934938559467132,0.039431095123291
"[7.8, 0.645, 0.0, 5.5, 0.086, 5.0, 18.0, 0.9986, 3.4, 0.55, 9.6]","[ 5.29166483  0.2         1.05231887  6.7         0.086       5.
 18.          0.9986      3.4         0.55        9.6       ]",5.205654040973220,5.205654040973220,0.0530364513397216
"[5.7, 1.13, 0.09, 1.5, 0.172, 7.0, 19.0, 0.994, 3.5, 0.48, 9.8]","[ 5.76347287  0.2         1.70440627  6.7         0.172       7.
 19.          0.994       3.5         0.48        9.8       ]",7.807879148499002,7.807879148499002,0.0562939643859863
"[8.8, 0.61, 0.3, 2.8, 0.088, 17.0, 46.0, 0.9976, 3.26, 0.51, 9.3]","[ 4.          0.2         0.95170669  6.7         0.088      17.
 46.          0.9976      3.26        0.51        9.3       ]",9.761706691464788,9.761706691464788,0.0236022472381591
"[7.5, 0.49, 0.2, 2.6, 0.332, 8.0, 14.0, 0.9968, 3.21, 0.9, 10.5]","[ 4.          0.2         1.21020543  6.7         0.332       8.
 14.          0.9968      3.21        0.9        10.5       ]",8.900205430028708,8.900205430028708,0.0234291553497314
"[6.8, 0.67, 0.02, 1.8, 0.05, 5.0, 11.0, 0.9962, 3.48, 0.52, 9.5]","[ 4.          0.2         1.06815063  6.7         0.05        5.
 11.          0.9962      3.48        0.52        9.5       ]",9.218150631494083,9.218150631494083,0.0261833667755126
"[7.7, 0.935, 0.43, 2.2, 0.114, 22.0, 114.0, 0.997, 3.25, 0.73, 9.2]","[  4.           0.2          0.77864881   6.7          0.114
  22.         114.           0.997        3.25         0.73
   9.2       ]",9.283648812143713,9.283648812143713,0.0237989425659179
"[8.7, 0.29, 0.52, 1.6, 0.113, 12.0, 37.0, 0.9969, 3.25, 0.58, 9.5]","[ 4.          0.39931926  0.91655391  6.7         0.113      12.
 37.          0.9969      3.25        0.58        9.5       ]",10.305873168706932,10.305873168706932,0.025498628616333
"[6.4, 0.4, 0.23, 1.6, 0.066, 5.0, 12.0, 0.9958, 3.34, 0.56, 9.2]","[ 6.41317341  0.2         0.96062232  6.7         0.066       5.
 12.          0.9958      3.34        0.56        9.2       ]",6.043795726573825,6.043795726573825,0.0349047183990478
"[5.6, 0.31, 0.37, 1.4, 0.074, 12.0, 96.0, 0.9954, 3.32, 0.58, 9.2]","[5.61702205e+00 3.27022051e-01 9.46816344e-01 6.70000000e+00
 7.40000000e-02 1.20000000e+01 9.60000000e+01 9.95400000e-01
 3.32000000e+00 5.80000000e-01 9.20000000e+00]",5.910860445763633,5.910860445763633,0.0296893119812011
"[6.6, 0.52, 0.04, 2.2, 0.069, 8.0, 15.0, 0.9956, 3.4, 0.63, 9.4]","[ 4.          0.2         0.89228391  6.7         0.069       8.
 15.          0.9956      3.4         0.63        9.4       ]",8.272283913716503,8.272283913716503,0.0693309307098388
"[6.6, 0.5, 0.04, 2.1, 0.068, 6.0, 14.0, 0.9955, 3.39, 0.64, 9.4]","[ 4.          0.2         0.86423605  6.7         0.068       6.
 14.          0.9955      3.39        0.64        9.4       ]",8.324236053663603,8.324236053663603,0.0251920223236084
"[7.7, 0.62, 0.04, 3.8, 0.084, 25.0, 45.0, 0.9978, 3.34, 0.53, 9.5]","[ 4.          0.2         0.93036409  6.7         0.084      25.
 45.          0.9978      3.34        0.53        9.5       ]",7.910364090578447,7.910364090578447,0.0576696395874023
"[7.8, 0.59, 0.18, 2.3, 0.076, 17.0, 54.0, 0.9975, 3.43, 0.59, 10.0]","[ 4.          0.2         0.82510383  6.7         0.076      17.
 54.          0.9975      3.43        0.59       10.        ]",9.235103826172175,9.235103826172175,0.0567386150360107
"[7.3, 0.39, 0.31, 2.4, 0.074, 9.0, 46.0, 0.9962, 3.41, 0.54, 9.4]","[ 5.27887155  0.4         1.08023375  6.7         0.074       9.
 46.          0.9962      3.41        0.54        9.4       ]",7.101362203444360,7.101362203444360,0.0642964839935302
"[8.8, 0.4, 0.4, 2.2, 0.079, 19.0, 52.0, 0.998, 3.44, 0.64, 9.2]","[ 4.          0.2         1.02299602  6.7         0.079      19.
 52.          0.998       3.44        0.64        9.2       ]",10.122996021851814,10.122996021851814,0.0431075096130371
"[7.7, 0.69, 0.49, 1.8, 0.115, 20.0, 112.0, 0.9968, 3.21, 0.71, 9.3]","[  4.           0.2          0.72628013   6.7          0.115
  20.         112.           0.9968       3.21         0.71
   9.3       ]",9.326280127119064,9.326280127119064,0.0460221767425537
