Original_x,Optimal_x,Cost,Objective,Runtime
"[7.8, 0.88, 0.0, 2.6, 0.098, 25.0, 67.0, 0.9968, 3.2, 0.68, 9.8]","[ 6.7         0.4         0.54245939  6.7         0.098      25.
 67.          0.9968      3.2         0.68        9.8       ]",6.222459386415681,6.222459386415681,0.0151560306549072
"[7.8, 0.76, 0.04, 2.3, 0.092, 15.0, 54.0, 0.997, 3.26, 0.65, 9.8]","[ 4.67219277  0.2         0.55        6.7         0.092      15.
 54.          0.997       3.26        0.65        9.8       ]",8.597807227038778,8.597807227038778,0.0126919746398925
"[11.2, 0.28, 0.56, 1.9, 0.075, 17.0, 60.0, 0.998, 3.16, 0.58, 9.8]","[ 6.7    0.28   0.55   6.7    0.075 17.    60.     0.998  3.16   0.58
  9.8  ]",9.31,9.31,0.0152390003204345
"[8.9, 0.62, 0.18, 3.8, 0.176, 52.0, 145.0, 0.9986, 3.16, 0.88, 9.2]","[  4.       0.2      0.55     6.7      0.176   52.     145.       0.9986
   3.16     0.88     9.2   ]",8.59,8.59,0.0137450695037841
"[8.9, 0.62, 0.19, 3.9, 0.17, 51.0, 148.0, 0.9986, 3.17, 0.93, 9.2]","[  6.7      0.2      0.55     6.7      0.17    51.     148.       0.9986
   3.17     0.93     9.2   ]",5.78,5.78,0.0135004520416259
"[7.9, 0.43, 0.21, 1.6, 0.106, 10.0, 37.0, 0.9966, 3.17, 0.91, 9.5]","[ 6.7     0.4     0.55    6.7     0.106  10.     37.      0.9966  3.17
  0.91    9.5   ]",6.67,6.67,0.0140538215637207
"[7.9, 0.43, 0.21, 1.6, 0.106, 10.0, 37.0, 0.9966, 3.17, 0.91, 9.5]","[ 6.7     0.4     0.55    6.7     0.106  10.     37.      0.9966  3.17
  0.91    9.5   ]",6.67,6.67,0.0495162010192871
"[8.3, 0.655, 0.12, 2.3, 0.083, 15.0, 113.0, 0.9966, 3.17, 0.66, 9.8]","[6.700e+00 4.000e-01 5.500e-01 6.700e+00 8.300e-02 1.500e+01 1.130e+02
 9.966e-01 3.170e+00 6.600e-01 9.800e+00]",6.685,6.685,0.0227832794189453
"[7.8, 0.6, 0.14, 2.4, 0.086, 3.0, 15.0, 0.9975, 3.42, 0.6, 10.8]","[ 4.45192245  0.2         0.55        6.7         0.086       3.
 15.          0.9975      3.42        0.6        10.8       ]",8.458077551646607,8.458077551646607,0.0224444866180419
"[8.1, 0.38, 0.28, 2.1, 0.066, 13.0, 30.0, 0.9968, 3.23, 0.73, 9.7]","[ 6.7         0.4         0.42140367  6.7         0.066      13.
 30.          0.9968      3.23        0.73        9.7       ]",6.161403673693699,6.161403673693699,0.0230169296264648
"[4.6, 0.52, 0.15, 2.1, 0.054, 8.0, 65.0, 0.9934, 3.9, 0.56, 13.1]","[4.60457224e+00 4.00000000e-01 5.46621054e-01 6.70000000e+00
 5.40000000e-02 8.00000000e+00 6.50000000e+01 9.93400000e-01
 3.90000000e+00 5.60000000e-01 1.31000000e+01]",5.121193290947715,5.121193290947715,0.0148506164550781
"[8.8, 0.66, 0.26, 1.7, 0.074, 4.0, 23.0, 0.9971, 3.15, 0.74, 9.2]","[ 6.7     0.4     0.55    6.7     0.074   4.     23.      0.9971  3.15
  0.74    9.2   ]",7.65,7.65,0.0137369632720947
"[8.6, 0.38, 0.36, 3.0, 0.081, 30.0, 119.0, 0.997, 3.2, 0.56, 9.4]","[4.00e+00 2.00e-01 5.50e-01 6.70e+00 8.10e-02 3.00e+01 1.19e+02 9.97e-01
 3.20e+00 5.60e-01 9.40e+00]",8.67,8.67,0.015456199645996
"[7.6, 0.51, 0.15, 2.8, 0.11, 33.0, 73.0, 0.9955, 3.17, 0.63, 10.2]","[ 6.7         0.4         0.50873334  6.7         0.11       33.
 73.          0.9955      3.17        0.63       10.2       ]",5.268733338190646,5.268733338190646,0.0137474536895751
"[7.5, 0.63, 0.12, 5.1, 0.111, 50.0, 110.0, 0.9983, 3.26, 0.77, 9.4]","[  6.7         0.2256391   0.55        6.7         0.111      50.
 110.          0.9983      3.26        0.77        9.4      ]",3.234360900916998,3.234360900916998,0.0171380043029785
"[6.6, 0.705, 0.07, 1.6, 0.076, 6.0, 15.0, 0.9962, 3.44, 0.58, 10.7]","[ 4.      0.2     0.55    6.7     0.076   6.     15.      0.9962  3.44
  0.58   10.7   ]",8.685,8.685,0.0269813537597656
"[8.0, 0.705, 0.05, 1.9, 0.074, 8.0, 19.0, 0.9962, 3.34, 0.95, 10.5]","[ 6.7     0.4     0.3     6.7     0.074   8.     19.      0.9962  3.34
  0.95   10.5   ]",6.655,6.655,0.0233888626098632
